ta . 41 ta
to . 3468 to
. 49 to .
190 to . 2005
to . 47 to
. 1850 to .
169 to . 111
to . 76 to
. 91 to .
558 to . 132
to . 54 to
. 175 to .
74 to . 90
to . 92 to
. 190 to .
84 to ! 17980
to . 51 to
. 170 to .
106 to . 598
to . 272 to
. 191 to .
87 to . 79
to ! 8943 to
! 1978 to .
99 to . 40
to . 1985 to
. 57 to .
172 to . 83
to . 51 to
. 204 to .
57 to . 242
to . 77 to
. 85 to .
42 to . 125
to . 698 to
. 92 to .
50 to . 284
to . 215 to
. 169 to .
313 to . 51
to . 156 to
. 1142 to .
190 to . 121
to . 167 to
. 118 to .
161 to . 103
to . 126 to
. 84 to .
1309 to . 61
to . 68 to
. 115 to .
93 to . 8949
to . 155 to
. 41 to .
47 to . 62
to ! 17127 to
. 552 to .
2377 to . 60
to . 221 to
. 93 to .
2071 to . 111
to . 56 to
. 118 to .
1578 to . 1026
to . 454 to
. 142 to .
50 to . 84
to . 770 to
. 84 to .
99 to . 67
to . 71 to
. 62 to .
1811 to . 173
to . 275 to
. 115 to .
147 to . 60
to . 777 to
. 519 to .
1086 to . 369
to . 314 to
. 137 to .
51 to . 790
to . 678 to
. 42 to .
197 to . 126
to . 768 to
. 274 to .
451 to . 75
to . 77 to
. 43 to .
391 to . 57
to . 55 to
. 73 to .
174 to ? 45
to . 120 to
. 1145 to .
391 to . 123
to . 144 to
. 45 to .
58 to . 105
to . 136 to
. 67 to .
46 to . 439
to . 314 to
. 1805 to .
107 to . 97
to . 118 to
. 152 to .
59 to . 298
to . 56 to
. 94 to .
54 to . 91
to . 218 to
. 64 to .
116 to . 1420
to . 51 to
. 59 to .
183 to . 115
to . 73 to
! 84493 to .
63 to . 91
to . 371 to
! 2478 to .
434 to . 535
to . 114 to
. 136 to .
563 to . 516
to . 134 to
. 1781 to .
7222 to . 57
to . 69 to
. 71 to .
50 to . 159
to . 241 to
. 1140 to .
958 to . 693
to . 45 to
. 51 to .
58 to . 110
to . 207 to
. 84 to .
279 to . 119
to . 51 to
. 120 to .
93 to . 593
to . 416 to
. 48 to .
116 to . 378
to . 1283 to
. 78 to .
196 to . 64
to . 462 to
. 80 to .
76 to . 62
to . 207 to
. 67 to .
131 to . 316
to . 47 to
. 120 to .
173 to . 141
to . 53 to
. 88 to .
793 to . 54
to . 51 to
. 47 to .
163 to . 84
to . 52 to
. 5301 to .
354 to . 89
to . 81 to
. 55 to .
335 to . 282
to . 42 to
. 119 to .
181 to . 173
to . 157 to
. 857 to .
71 to . 2023
to . 46 to
. 61 to .
1003 to . 74
to . 49 to
. 114 to .
75 to . 125
to . 814 to
. 143 to .
156 to . 228
to . 61 to
. 69 to .
88 to . 461
to . 52 to
. 2128 to .
62 to . 501
to . 54 to
. 42 to .
71 to . 3604
to . 559 to
. 211 to .
2622 to . 895
to . 1127 to
. 235 to .
386 to . 588
to . 74 to
. 82 to .
68 to . 116
to . 52 to
. 2038 to .
62 to . 68
to . 123 to
. 50 to .
120 to . 42
to . 81 to
. 124 to .
335 to . 601
to . 126 to
. 4324 to .
44 to . 138
to . 95 to
. 620 to .
41 to . 120
to . 437 to
. 98 to .
231 to . 127
to . 554 to
. 5400 to .
47 to . 46
to . 73 to
. 849 to !
2724 to . 74
to . 143 to
. 78 to .
638 to . 77
to . 169 to
. 216 to .
536 to . 9101
to . 172 to
. 186 to .
331 to . 425
to . 97 to
. 1141 to .
434 to . 128
to . 125 to
. 211 to .
231 to ! 1196
to . 170 to
. 484 to .
2762 to . 193
to . 49 to
. 72 to .
69 to . 202
to . 384 to
. 57 to .
58 to . 3693
to . 70 to
. 146 to .
2681 to . 5597
to . 136 to
. 63 to .
4683 to . 385
to . 832 to
. 15505 to .
306 to . 1119
to . 2197 to
. 179 to .
800 to . 210
to . 88 to
. 94 to .
65 to . 617
to . 493 to
. 49 to .
47 to . 60
to . 213 to
. 85 to .
458 to . 117
to . 384 to
. 87 to .
75 to . 73
to . 492 to
. 51 to !
42336 to . 374
to . 61 to
. 85 to .
47 to . 49
to . 50 to
. 59 to .
187 to . 72
to . 51 to
. 3054 to .
205 to . 83
to . 773 to
. 412 to .
66 to . 420
to . 61 to
. 1277 to .
849 to . 188
to . 198 to
. 78 to .
190 to . 690
to . 88 to
. 327 to .
418 to . 50
to . 190 to
. 50 to .
113 to . 104
to . 46 to
. 40 to .
129 to . 249
to . 87 to
. 53 to .
371 to . 60
to . 106 to
. 507 to .
122 to . 88
to . 179 to
. 173 to .
200 to . 53
to . 151 to
. 50 to .
22318 to . 98
to . 8802 to
. 590 to .
399 to . 63
to . 118 to
. 46 to .
474 to . 50
to . 2170 to
. 124 to .
40 to . 228
to . 3343 to
. 48 to .
46 to . 47
to . 76 to
. 76 to .
327 to . 487
to . 60 to
. 488 to .
83 to ! 24315
to . 530 to
. 51 to .
4257 to . 58
to . 49 to
. 474 to .
143 to . 1854
to . 442 to
. 40 to .
386 to . 243
to . 2741 to
. 347 to .
51 to . 417
to . 182 to
. 99 to .
183 to . 75
to . 339 to
. 1337 to .
6226 to . 198
to . 55 to
. 214 to .
156 to . 120
to . 786 to
. 248 to .
757 to . 148
to . 212 to
. 55 to .
41 to . 111
to . 1668 to
. 470 to .
65 to . 59
to . 108 to
. 173 to .
220 to . 68
to . 891 to
. 157 to .
467 to . 159
to . 243 to
. 1843 to .
1343 to . 258
to . 47 to
! 4195 to .
160 to . 96
to . 3897 to
. 1969 to .
3051 to . 42
to . 2091 to
. 191 to .
259 to . 491
to . 326 to
. 93 to .
221 to . 90
to . 60 to
. 482 to .
82 to . 894
to . 139 to
. 471 to .
75 to . 78
to . 63 to
. 168 to .
100 to . 148
to . 42 to
. 145 to !
21543 to . 86
to . 187 to
. 66 to .
50 to . 1245
to . 675 to
. 83 to .
57 to . 45
to . 102 to
. 273 to .
144 to . 866
to . 219 to
. 198 to .
74 to . 310
to . 296 to
. 958 to .
63 to . 117
to . 376 to
. 69 to .
195 to . 6512
to . 105 to
. 136 to .
152 to . 208
to . 330 to
. 45 to .
307 to . 70
to . 212 to
. 670 to !
148305 to . 448
to . 309 to
. 2380 to !
359 to . 1337
to . 78 to
. 350 to .
1135 to ! 13992
to . 1229 to
. 1078 to .
49 to . 61
to ! 24062 to
. 307 to .
98 to . 70
to . 765 to
. 336 to .
343 to . 146
to . 40 to
. 90 to .
1646 to . 40
to . 267 to
. 44 to .
120 to . 583
to . 1559 to
. 128 to .
382 to . 294
to . 84 to
. 101 to .
43 to . 69
to . 697 to
. 1757 to .
237 to ! 10549
to . 75 to
. 66 to .
100 to . 116
to . 190 to
. 675 to .
1289 to . 49
to . 2616 to
. 2564 to .
53 to . 262
to . 370 to
. 145 to .
99 to . 40
to . 249 to
. 165 to .
2201 to . 93
to . 174 to
. 1253 to .
75 to . 670
to . 46 to
. 57 to .
6412 to . 3134
to . 346 to
. 117 to .
62 to . 65
to . 42 to
. 121 to .
132 to . 169
to . 1201 to
. 71 to .
427 to . 427
to . 87 to
. 40 to .
227 to . 169
to . 2232 to
. 17175 to .
5140 to . 63
to . 57 to
. 72 to .
47 to . 144
to . 559 to
. 534 to !
51794 to . 56
to . 3185 to
. 447 to .
47 to . 2455
to . 60 to
. 78 to .
931 to . 288
to . 252 to
. 756 to .
356 to . 51
to . 2995 to
. 158 to .
202 to . 63
to . 57 to
. 1202 to .
144 to . 1302
to . 90 to
. 998 to .
134 to . 929
to ! 14405 to
. 55 to .
42 to . 67
to . 208 to
. 85 to .
281 to ! 7041
to . 172 to
. 436 to .
29548 to . 45
to ! 3121 to
. 389 to .
51 to . 575
to . 157 to
. 57 to .
1720 to . 4395
to . 105 to
! 2617 to .
484 to . 1510
to . 181 to
. 75 to .
100 to ! 18980
to . 1177 to
. 842 to .
436 to . 1022
to . 1231 to
. 5895 to .
101 to . 1052
to . 153 to
. 8115 to .
66 to . 58
to . 202 to
! 19298 to .
81 to . 234
to . 3719 to
. 6635 to .
12798 to . 162
to . 4347 to
. 170 to .
1915 to . 57
to ! 12840 to
! 10809 to .
727 to . 115
to . 2506 to
. 1376 to .
164 to ! 182467
to . 105 to
? 59 to .
2402 to . 321
to . 48 to
. 74 to .
75 to . 71
to . 1184 to
. 1123 to .
113 to . 1956
to . 88 to
. 216 to .
359 to . 98
to . 861 to
. 58 to !
11977 to ! 180791
to ! 42190 to
. 4368 to .
53 to . 691
to ! 205745 to
. 142 to !
29570 to . 307
to . 238 to
. 252 to .
45 to . 468
to . 866 to
. 116 to .
1124 to . 106
to . 172 to
. 52 to .
498 to . 140
to ! 35724 to
. 63 to .
140 to . 79
to . 2233 to
. 581 to .
1839 to . 626
to . 98 to
. 68 to .
3704 to . 75
to . 185 to
. 104 to .
872 to . 1596
to . 2617 to
. 7930 to .
648 to . 7256
to . 56 to
. 197 to .
46 to . 47
to . 85 to
! 70605 to .
895 to . 530
to . 285 to
. 340 to .
88 to . 134
to . 80 to
. 121 to .
112 to . 57
to . 43 to
. 348 to .
10759 to . 200
to . 591 to
. 947 to .
10201 to . 44
to . 1622 to
. 88 to .
7378 to . 51
to . 47 to
. 242 to .
2952 to . 201
to . 493 to
. 105 to .
66 to . 196
to . 122 to
. 86 to .
548 to . 95
to . 102 to
. 217 to .
91 to . 134
to . 212 to
. 769 to .
77 to . 47
to . 288 to
. 87 to .
48 to . 43
to . 359 to
. 42 to .
58 to . 47
to . 231 to
. 200 to .
117 to . 110
to . 174 to
. 289 to .
130 to . 53
to . 225 to
. 1502 to .
276 to . 53
to . 241 to
. 53 to !
9749 to . 48
to . 43 to
. 727 to .
64 to . 102
to . 47 to
. 129 to .
169 to . 40
to . 109 to
. 56 to .
187 to ! 17703
to . 123 to
. 285 to .
278 to . 220
to . 175 to
. 1195 to .
100 to . 52
to . 113 to
! 202176 to .
59 to . 57
to . 116 to
. 143 to .
199 to . 89
to . 531 to
. 86 to .
46 to . 499
to . 122 to
. 310 to .
1618 to . 329
to . 985 to
. 1300 to .
72 to . 119
to . 79 to
! 5436 to .
59 to . 694
to . 480 to
. 56 to .
80 to ! 5422
to . 1991 to
. 931 to .
77 to . 51
to . 453 to
. 72 to .
345 to . 90
to . 129 to
. 58 to .
393 to . 5184
to . 141 to
. 69 to .
88 to . 78
to . 61 to
. 54 to .
694 to . 100
to . 73 to
. 88 to .
1376 to . 59
to . 415 to
. 65 to .
61 to . 535
to . 340 to
. 3608 to .
850 to . 481
to . 93 to
. 270 to .
81 to . 1091
to . 156 to
. 223 to .
202 to . 85
to . 517 to
. 60 to .
118 to . 911
to . 97 to
. 1231 to .
56 to . 231
to . 72 to
. 243 to .
55 to . 89
to . 64 to
. 214 to .
61 to . 89
to . 59 to
. 125 to .
151 to . 278
to . 56 to
. 51 to .
124 to . 212
to . 105 to
. 87 to .
48 to . 53
to . 129 to
. 256 to .
1815 to . 57
to . 159 to
. 121 to .
51 to . 176
to . 119 to
. 107 to .
40 to . 148
to . 207 to
. 155 to .
70 to . 225
to . 48 to
. 639 to .
96 to . 80
to . 215 to
. 281 to .
94 to . 103
to . 224 to
. 85 to .
137 to . 227
to . 277 to
. 144 to .
61 to . 77
to . 55 to
. 153 to .
181 to . 93
to . 157 to
. 80 to .
61 to . 65
to . 98 to
. 63 to .
89 to . 1820
to . 40 to
. 189 to .
412 to . 159
to . 92 to
. 2100 to .
71 to . 250
to . 4256 to
. 278 to .
56 to . 74
to . 92 to
. 56 to .
922 to . 113
to . 248 to
. 72 to .
353 to . 43
to . 82 to
. 104 to .
143 to . 191
to . 1492 to
. 142 to .
119 to . 62
to . 62 to
. 488 to .
2104 to . 94
to . 50 to
. 52 to !
109621 to . 5962
to . 361 to
. 90 to .
67 to . 111
to . 135 to
. 82 to .
129 to . 79
to . 45 to
. 74 to .
75 to . 235
to . 100 to
. 56 to .
48 to . 76
to . 131 to
. 70 to .
215 to . 378
to . 102 to
. 87 to .
1296 to . 532
to . 276 to
. 144 to .
95 to . 67
to . 299 to
. 64 to .
802 to . 75
to . 120 to
. 63 to .
981 to . 561
to . 98 to
. 157 to .
233 to . 563
to . 93 to
! 2214 to .
157 to . 2115
to . 131 to
. 67 to .
403 to . 107
to . 49 to
. 120 to .
112 to ! 6753
to . 132 to
. 388 to .
160 to . 215
to . 253 to
. 321 to .
797 to . 539
to . 258 to
. 81 to .
116 to . 408
to . 217 to
. 60 to .
49 to . 118
to . 220 to
. 59 to .
347 to . 7286
to . 603 to
. 306 to .
2024 to . 190
to . 398 to
. 47 to .
5190 to . 817
to . 201 to
. 260 to .
376 to . 7809
to . 708 to
. 158 to .
521 to . 234
to . 52 to
. 65 to .
64 to . 83
to . 860 to
. 167 to .
57 to . 155
to . 79 to
. 311 to .
125 to . 275
to . 235 to
. 447 to .
195 to . 46
to . 61 to
. 115 to .
45 to . 185
to . 74 to
. 51 to .
222 to . 243
to . 229 to
. 50 to .
65 to . 113
to . 891 to
. 99 to .
52 to . 1425
to . 451 to
. 111 to .
50 to . 91
to ! 31115 to
. 43 to .
383 to . 44
to . 3427 to
. 471 to .
495 to . 58
to . 77 to
. 61 to .
73 to . 203
to . 101 to
. 158 to .
55 to . 95
to ! 19961 to
. 212 to .
106 to . 6287
to . 119 to
. 41 to .
46 to . 343
to . 82 to
. 77 to .
180 to . 92
to . 1606 to
. 215 to .
82 to . 475
to . 188 to
. 160 to .
53 to . 50
to . 72 to
. 415 to .
121 to . 198
to . 63 to
. 75 to .
78 to . 162
to . 568 to
. 346 to .
740 to . 457
to ? 78 to
. 43 to !
26536 to . 252
to . 3984 to
! 14475 to .
1086 to . 61
to . 879 to
! 2644 to .
139 to . 1556
to . 236 to
. 64 to .
254 to . 48
to . 105 to
. 1696 to .
70 to . 508
to . 76 to
. 270 to .
143 to . 804
to . 96 to
. 176 to .
203 to . 82
to . 155 to
. 454 to .
74 to . 434
to . 73 to
. 1740 to .
3178 to . 87
to . 41 to
. 701 to .
166 to . 76
to . 76 to
. 58 to .
49 to . 126
to . 131 to
. 77 to .
5755 to . 46
to . 68 to
. 1522 to .
239 to . 630
to . 76 to
. 76 to !
8499 to . 1442
to . 58 to
. 68 to .
48 to . 7305
to . 51 to
. 68 to .
210 to . 150
to . 198 to
. 151 to .
1914 to . 22124
to . 816 to
. 99 to .
92 to . 190
to . 507 to
! 38817 to .
17107 to . 1918
to . 148 to
. 557 to .
170 to . 51
to . 362 to
. 522 to .
114 to . 316
to . 127 to
. 632 to .
164 to . 65
to . 1072 to
. 73 to .
85 to . 555
to . 81 to
. 144 to .
65 to . 187
to . 115 to
. 51 to .
3496 to . 89
to . 66 to
. 1239 to .
52 to . 1496
to . 56 to
. 53 to .
54 to . 42
to . 114 to
. 406 to .
1418 to . 133
to . 215 to
. 1555 to .
70 to . 1458
to . 85 to
. 415 to .
460 to . 163
to . 419 to
. 58 to .
45 to . 713
to . 47 to
. 748 to .
48 to . 244
to . 80 to
. 43 to .
4935 to . 871
to . 184 to
. 940 to .
127 to . 51
to . 175 to
. 1444 to .
105 to . 97
to . 64 to
. 1251 to .
144 to . 103
to . 352 to
. 131 to .
393 to . 402
to . 884 to
. 425 to .
510 to . 61
to . 1674 to
. 220 to .
49 to . 44
to . 345 to
. 190 to .
3595 to . 426
to . 54 to
. 45 to .
63 to . 2612
to . 838 to
. 133 to .
104 to . 320
to . 44 to
. 149 to .
3808 to . 71
to . 77 to
. 136 to .
73 to . 340
to . 773 to
. 117 to !
8601 to . 71
to . 491 to
. 147 to .
156 to . 2204
to . 61 to
. 273 to .
72 to . 50
to . 155 to
. 2493 to .
54 to . 111
to . 358 to
. 232 to .
434 to . 67
to . 72 to
. 57 to .
106 to . 81
to . 373 to
. 231 to .
2848 to . 59
to . 69 to
. 707 to .
7908 to . 1074
to . 524 to
. 2276 to .
134 to . 87
to . 130 to
. 1710 to .
119 to . 3089
to . 1060 to
. 502 to .
2537 to . 221
to . 137 to
. 104 to .
351 to . 78
to . 959 to
. 1363 to .
391 to . 335
to . 312 to
. 1336 to .
195 to . 276
to . 96 to
. 309 to .
104 to . 118
to . 666 to
. 267 to .
200 to . 89
to . 162 to
. 249 to .
278 to . 327
to . 278 to
. 50 to .
510 to . 272
to . 53 to
. 72 to .
89 to . 2211
to . 143 to
. 90 to .
82 to . 122
to . 54 to
. 49 to .
1363 to . 90
to . 250 to
. 201 to .
66 to . 60
to . 154 to
. 220 to .
185 to . 62
to ! 18918 to
. 43 to .
49 to . 114
to . 256 to
. 96 to .
76 to . 819
to . 972 to
. 66 to .
193 to . 93
to . 157 to
. 43 to !
2769 to . 106
to . 97 to
. 66 to .
158 to . 95
to . 792 to
. 104 to .
499 to . 1414
to . 143 to
. 52 to .
78 to . 191
to . 1058 to
. 53 to .
174 to . 73
to . 67 to
. 98 to .
401 to . 43
to . 92 to
. 83 to .
82 to . 1046
to . 1177 to
. 65 to .
85 to . 65
to . 59 to
. 732 to .
60 to . 98
to . 581 to
. 3395 to .
109 to . 47
to . 176 to
. 140 to .
121 to . 75
to . 49 to
. 85 to .
376 to . 132
to . 4168 to
. 64 to .
45 to . 374
to . 413 to
. 115 to .
83 to . 43
to . 51 to
. 1570 to .
867 to . 1493
to . 95 to
. 3610 to .
167 to . 133
to . 90 to
. 198 to .
70 to . 507
to . 180 to
. 68 to .
57 to ! 10947
to . 50 to
. 227 to .
167 to . 267
to . 72 to
. 465 to .
117 to . 354
to . 72 to
. 44 to .
1275 to . 329
to . 91 to
. 363 to .
205 to . 91
to . 191 to
. 150 to .
1388 to . 48
to . 169 to
. 199 to .
989 to . 2072
to . 77 to
. 48 to .
54 to . 178
to . 239 to
. 1523 to .
48 to . 42
to . 2017 to
. 65 to .
86 to . 325
to . 280 to
. 118 to !
8646 to . 184
to . 156 to
. 3679 to .
252 to . 319
to . 1534 to
. 6835 to .
1258 to . 53
to . 161 to
. 57 to .
3482 to . 133
to . 64 to
. 61 to .
101 to . 84
to . 530 to
. 137 to .
71 to . 75
to . 60 to
. 105 to .
4392 to . 151
to . 311 to
. 184 to .
721 to . 169
to . 566 to
. 57 to .
322 to . 647
to . 168 to
. 250 to .
51 to . 356
to . 204 to
. 272 to .
85 to . 65
to . 88 to
. 48 to .
631 to . 61
to . 174 to
. 67 to .
124 to . 61
to . 90 to
. 69 to .
6428 to . 349
to . 3353 to
. 2045 to .
64 to . 41
to . 12461 to
. 2667 to !
7929 to . 91
to ! 16944 to
. 174 to .
60 to . 82
to . 93 to
. 60 to .
74 to . 177
to . 195 to
. 250 to .
48 to . 626
to . 47 to
. 123 to .
70 to . 1223
to ! 19767 to
. 203 to .
52 to . 59
to . 218 to
. 60 to .
68 to . 71
to . 2797 to
. 289 to .
189 to . 78
to . 46 to
. 3230 to .
53 to . 111
to . 82 to
. 348 to .
109 to . 179
to . 245 to
. 562 to .
43 to . 263
to . 62 to
. 6621 to .
117 to . 180
to . 235 to
. 603 to .
250 to . 57
to . 9087 to
. 184 to .
136 to . 46
to . 42 to
. 160 to .
69 to . 55
to . 1870 to
. 49 to .
80 to . 207
to . 224 to
. 290 to .
405 to . 61
to . 125 to
. 889 to .
375 to . 59
to . 145 to
. 45 to .
301 to . 366
to . 327 to
. 70 to .
90 to . 76
to . 140 to
. 46 to .
243 to . 503
to . 1005 to
. 132 to .
196 to . 89
to . 83 to
. 725 to .
204 to . 50
to . 530 to
. 134 to !
3633 to . 392
to . 327 to
. 191 to .
76 to . 87
to . 163 to
. 117 to .
472 to . 235
to . 53 to
. 89 to .
52 to . 1422
to . 84 to
. 124 to .
183 to . 100
to . 492 to
. 74 to .
49 to . 118
to . 177 to
. 1144 to .
240 to . 1120
to . 4938 to
. 70 to .
553 to . 2349
to . 404 to
. 281 to .
135 to . 314
to . 2412 to
. 478 to .
2000 to . 43
to . 404 to
. 43 to .
64 to . 3396
to . 942 to
. 577 to .
545 to . 470
to . 50 to
. 70 to .
64 to . 157
to . 71 to
. 1915 to .
368 to . 103
to . 96 to
. 287 to .
40 to . 123
to . 74 to
. 42 to .
101 to . 104
to . 1122 to
. 104 to .
226 to . 62
to . 67 to
. 353 to .
967 to . 87
to ! 10881 to
. 95 to .
58 to . 41
to . 354 to
. 51 to !
14207 to . 204
to . 128 to
! 16517 to .
146 to . 170
to . 57 to
. 88 to .
147 to . 122
to . 120 to
. 157 to .
78 to . 42
to . 159 to
! 7706 to .
67 to . 239
to . 41 to
. 160 to .
184 to . 247
to . 231 to
. 77 to .
273 to . 65
to . 290 to
. 50 to .
53 to . 213
to . 104 to
. 167 to .
65 to . 102
to . 162 to
. 87 to .
42 to . 212
to . 198 to
. 880 to .
55 to . 67
to . 138 to
. 227 to .
78 to . 159
to . 57 to
. 204 to .
557 to . 96
to . 394 to
. 4878 to .
87 to . 1590
to . 7988 to
. 27397 to .
9920 to . 51
to . 126 to
. 233 to .
183 to . 996
to . 84 to
. 186 to .
1227 to . 65
to . 147 to
. 3630 to .
123 to . 214
to . 40 to
. 138 to .
54 to . 738
to . 103 to
. 58 to .
113 to . 183
to . 423 to
. 55 to .
42 to . 60
to . 202 to
. 52 to .
117 to . 508
to . 47 to
. 596 to .
41 to . 53
to . 79 to
. 52 to .
5313 to . 49
to . 120 to
. 68 to .
348 to . 87
to . 128 to
. 2467 to .
116 to . 58
to . 560 to
. 463 to .
755 to . 481
to . 143 to
. 239 to .
133 to . 142
to . 61 to
. 56 to .
2344 to . 53
to . 51 to
! 4826 to .
2412 to . 67
to . 52 to
. 209 to .
75 to . 582
to ? 42 to
. 50 to .
115 to . 108
to . 64 to
. 108 to .
895 to . 343
to . 1762 to
. 138 to .
85 to . 58
to . 98 to
. 51 to .
96 to . 242
to . 391 to
. 1375 to .
304 to . 210
to . 429 to
. 297 to .
665 to . 56
to . 2592 to
. 231 to .
347 to . 216
to . 290 to
. 160 to .
244 to . 61
to ! 10863 to
. 42 to .
921 to . 2709
to . 433 to
. 73 to .
167 to . 183
to . 51 to
. 2466 to .
178 to . 157
to ! 10858 to
. 183 to .
150 to . 13440
to . 161 to
. 3646 to .
221 to . 80
to ! 4687 to
. 53 to .
99 to . 68
to . 2261 to
. 418 to .
260 to . 106
to . 68 to
. 45 to .
68 to . 60
to . 58 to
. 58 to .
50 to . 108
to . 147 to
. 129 to .
1325 to . 227
to . 128 to
. 75 to .
51 to . 1067
to . 272 to
. 73 to .
50 to . 78
to . 97 to
. 467 to !
1792 to . 114
to . 75 to
. 155 to .
520 to . 258
to . 463 to
. 129 to .
1089 to . 52
to . 126 to
. 116 to .
78 to ! 8288
to . 996 to
. 49 to .
914 to . 57
to . 179 to
. 291 to .
744 to . 61
to . 82 to
. 61 to .
272 to . 191
to . 211 to
. 158 to .
938 to . 67
to . 435 to
. 63 to .
882 to . 123
to . 55 to
. 796 to .
47 to . 9548
to . 41 to
. 216 to .
83 to . 80
to . 58 to
. 137 to .
932 to . 66
to . 52 to
. 97 to !
1126 to . 70
to . 92 to
. 95 to .
94 to . 133
to . 245 to
. 68 to .
3924 to . 73
to . 119 to
. 833 to .
5366 to . 50
to . 6653 to
. 69 to !
24418 to . 89
to . 149 to
. 138 to .
142 to . 75
to . 63 to
. 4982 to .
171 to . 78
to . 78 to
. 50 to .
456 to . 214
to . 67 to
. 135 to .
640 to . 84
to . 68 to
. 45 to .
116 to ! 37823
to . 441 to
. 76 to .
70 to . 79
to . 43 to
. 87 to .
107 to . 66
to . 64 to
. 80 to .
518 to ! 17362
to . 50 to
. 177 to .
210 to . 86
to . 229 to
. 200 to .
716 to . 97
to . 237 to
! 22528 to .
379 to . 98
to . 70 to
. 66 to .
7439 to . 460
to . 148 to
. 1837 to .
195 to . 80
to . 58 to
. 49 to .
1033 to . 80
to . 351 to
. 596 to .
74 to . 48
to . 872 to
. 252 to .
57 to . 150
to . 972 to
. 47 to .
137 to . 41
to . 60 to
. 2581 to .
541 to . 341
to . 50 to
. 461 to .
409 to . 47
to . 236 to
! 20937 to .
78 to . 11088
to . 147 to
. 532 to .
71 to . 3830
to . 139 to
. 144 to .
821 to . 59
to . 503 to
. 116 to .
121 to . 67
to . 130 to
. 128 to !
18735 to . 61
to . 992 to
. 125 to .
111 to . 299
to ! 2597 to
. 100 to .
292 to . 77
to . 568 to
! 9793 to .
66 to . 1777
to . 379 to
. 142 to .
57 to . 1714
to . 513 to
. 129 to .
55 to . 57
to . 428 to
. 60 to .
52 to . 124
to . 93 to
. 377 to .
119 to . 47
to . 51 to
. 59 to .
74 to . 205
to . 66 to
. 266 to .
44 to . 63
to . 154 to
. 56 to .
47 to . 903
to . 52 to
. 143 to .
111 to . 1032
to . 1130 to
. 969 to .
334 to . 56
to . 43 to
. 88 to .
63 to . 238
to . 179 to
. 46 to .
47 to . 163
to . 100 to
. 54 to .
80 to . 1532
to . 135 to
. 236 to .
284 to ! 12492
to . 2376 to
. 60 to .
91 to . 227
to . 123 to
. 154 to .
1025 to . 61
to . 76 to
. 66 to .
1750 to . 154
to . 131 to
. 47 to .
439 to . 92
to . 273 to
. 82 to .
1419 to . 51
to . 53 to
. 739 to .
661 to . 75
to . 264 to
. 83 to .
108 to . 67
to . 64 to
. 555 to .
85 to . 61
to . 94 to
. 69 to .
60 to . 282
to . 85 to
. 4508 to .
162 to . 53
to . 437 to
. 1543 to .
124 to . 1599
to . 262 to
. 148 to !
43792 to . 103
to . 82 to
. 898 to .
77 to . 1085
to . 7193 to
. 1155 to .
400 to . 1667
to . 139 to
. 191 to .
1915 to ! 9332
to . 6362 to
. 464 to .
49 to . 94
to . 1463 to
. 1318 to .
92 to . 257
to . 43 to
. 160 to .
693 to . 1499
to . 1719 to
. 9685 to .
343 to . 91
to . 74 to
. 60 to .
453 to . 70
to . 128 to
. 72 to .
173 to . 799
to . 381 to
. 75 to .
209 to . 5146
to . 529 to
. 110 to .
56 to . 673
to . 82 to
. 43 to .
240 to . 238
to . 86 to
. 141 to .
147 to . 1396
to . 83 to
. 58 to .
2023 to . 477
to . 107 to
. 806 to .
54 to . 169
to . 84 to
. 49 to .
56 to . 48
to . 493 to
. 2248 to .
252 to . 188
to . 53 to
. 424 to .
13300 to . 83
to . 4211 to
. 66 to .
86 to . 233
to . 50 to
. 3723 to .
777 to . 9184
to . 141 to
! 18627 to .
71 to . 49
to . 131 to
. 127 to .
446 to . 210
to . 60 to
. 106 to .
290 to . 60
to . 71 to
. 496 to .
111 to . 45
to . 4638 to
. 225 to .
94 to . 93
to . 4871 to
. 130 to .
100 to . 91
to . 1365 to
. 270 to .
68 to . 689
to . 8981 to
. 604 to .
110 to . 136
to . 288 to
. 401 to .
98 to . 41
to . 48 to
. 10884 to .
43 to . 142
to . 171 to
. 79 to .
113 to . 149
to . 146 to
. 94 to .
88 to . 1068
to . 210 to
. 286 to !
135 to . 71
to . 139 to
. 50 to .
111 to . 239
to . 164 to
! 316640 to .
70 to . 44
to . 99 to
. 371 to .
97 to . 109
to . 128 to
. 481 to .
66 to . 249
to ! 75822 to
. 2949 to .
1980 to . 620
to . 482 to
. 392 to .
63 to . 55
to . 151 to
. 79 to .
114 to . 44
to . 61 to
. 60 to .
211 to . 42
to . 112 to
. 129 to .
186 to . 46
to . 162 to
. 78 to .
338 to . 96
to . 261 to
. 127 to !
823 to . 152
to . 1712 to
. 530 to !
58382 to . 165
to . 253 to
. 1322 to .
300 to . 336
to . 126 to
. 591 to .
133 to . 1355
to . 326 to
. 52 to .
134 to . 59
to . 45 to
. 3811 to .
46 to . 68
to . 54 to
! 1932 to .
48 to . 114
to . 410 to
. 78 to .
142 to . 96
to . 41 to
. 90 to .
784 to . 41
to . 1575 to
. 1384 to .
626 to . 204
to . 1236 to
. 89 to .
98 to . 203
to . 44 to
. 180 to .
4303 to . 249
to . 315 to
. 85 to .
70 to . 177
to . 151 to
. 156 to .
125 to . 264
to . 70 to
. 332 to .
702 to . 403
to . 668 to
. 3011 to .
64 to . 996
to . 73 to
